model,display,standard_accuracy,easy_accuracy,hard_accuracy,planned,attempted,correct,failed,accuracy
semif-qwen3.5-4b,"SemIf, formerly OpenJev (Qwen3.5-4B, TheoLeeCJ)",0.9861111111111112,1.0,0.6126126126126126,231,231,187,0,0.8095238095238095
openjev-razorback16,"OpenJev (DiffusionGemma 26B-A4B NVFP4, razorback16)",0.9722222222222222,1.0,0.6396396396396397,231,231,189,0,0.8181818181818182
system-one-sg,"system-one (Qwen3-8B, Sean Goedecke)",0.8888888888888888,1.0,0.4864864864864865,231,231,166,0,0.7186147186147186
jev-1.13.0,Jev 1.13.0 (TypeSafe AI),0.9861111111111112,1.0,0.7297297297297297,231,231,200,0,0.8658008658008658
system-one-open,system-one-open (Gemma 4 E2B LoRA on an L4),0.9305555555555556,1.0,0.4864864864864865,231,231,169,0,0.7316017316017316
nimble-9b,Bespoke Nimble 9B (Bespoke Labs),0.9305555555555556,1.0,0.36936936936936937,231,231,156,37,0.6753246753246753
openjev-sglang,openjev-sglang (Qwen3.6-35B-A3B on SGLang),0.9444444444444444,1.0,0.7297297297297297,231,231,197,0,0.8528138528138528
gpt-5.6-luna,GPT-5.6 Luna (low reasoning effort),0.9722222222222222,1.0,0.963963963963964,231,231,225,0,0.974025974025974
gemini-3.1-flash-lite,Gemini 3.1 Flash-Lite,0.9861111111111112,1.0,0.7387387387387387,231,231,201,0,0.8701298701298701
open-jev-deberta-v3-large,open-jev-deberta-v3-large (local CPU),0.4305555555555556,1.0,0.3783783783783784,231,231,121,1,0.5238095238095238
deepseek-flash,DeepSeek V4.1 Flash (thinking default),0.9861111111111112,1.0,0.963963963963964,231,231,226,4,0.9783549783549783
needle-3,"Needle 3 (Cactus, 2-bit, local CPU)",0.16666666666666666,0.4791666666666667,0.15315315315315314,231,164,52,0,0.22510822510822512
qwen3.8-27b,Qwen3.8 27B (Chutes TEE),0.9861111111111112,1.0,0.42342342342342343,231,171,166,4,0.7186147186147186
needle-3-tools,"Needle 3, options as tools (post-hoc adapter mode)",0.2638888888888889,0.6666666666666666,0.0,231,120,51,0,0.22077922077922077
open-alternative-jev,"open-alternative-jev (Qwen3.5-4B, IkerMoel)",0.8333333333333334,1.0,0.5675675675675675,231,231,171,0,0.7402597402597403
classifier-dev-fast,classifier.dev (fast tier),0.9861111111111112,1.0,0.7027027027027027,231,231,197,0,0.8528138528138528
djev,"djev (Maisa, diffusion-gemma)",0.9861111111111112,1.0,0.6756756756756757,231,231,194,0,0.8398268398268398
gliner2,"GLiNER2 (Fastino, gliner2.5-base)",0.6388888888888888,0.9791666666666666,0.36936936936936937,231,231,134,0,0.5800865800865801
jeff,"jeff (Logan Markewich, GLiFormer 400M)",0.75,1.0,0.38738738738738737,231,231,145,0,0.6277056277056277
laya,"Laya (Convai Innovations, ModernBERT-large 421M)",0.6944444444444444,0.9583333333333334,0.35135135135135137,231,231,135,0,0.5844155844155844
openjev-verdict,"openJev Verdict (heman10x, ModernBERT-base 151M)",0.625,0.8541666666666666,0.3783783783783784,231,231,128,0,0.5541125541125541
linnaeus,Linnaeus-0.1.0-2B (seed 42),0.9166666666666666,1.0,0.4954954954954955,231,231,169,0,0.7316017316017316
